run,epsilon,gamma,round,accuracy
1,1,0,1,0.107
1,1,0,2,0.2714
1,1,0,3,0.6479
1,1,0,4,0.8643
1,1,0,5,0.8983
1,1,0,6,0.9166
1,1,0,7,0.9198
1,1,0,8,0.9237
1,1,0,9,0.9292
1,1,0,10,0.9297
1,1,0,11,0.9346
1,1,0,12,0.9367
2,1,0,1,0.1028
2,1,0,2,0.2779
2,1,0,3,0.6801
2,1,0,4,0.7685
2,1,0,5,0.8603
2,1,0,6,0.9075
2,1,0,7,0.9191
2,1,0,8,0.9247
2,1,0,9,0.9291
2,1,0,10,0.9292
2,1,0,11,0.9355
2,1,0,12,0.9348
3,1,0,1,0.09
3,1,0,2,0.2369
3,1,0,3,0.5848
3,1,0,4,0.8644
3,1,0,5,0.8919
3,1,0,6,0.9085
3,1,0,7,0.9141
3,1,0,8,0.9185
3,1,0,9,0.9258
3,1,0,10,0.9303
3,1,0,11,0.9315
3,1,0,12,0.9339
1,1,0.01,1,0.1063
1,1,0.01,2,0.2173
1,1,0.01,3,0.5343
1,1,0.01,4,0.7549
1,1,0.01,5,0.794
1,1,0.01,6,0.8335
1,1,0.01,7,0.8401
1,1,0.01,8,0.8562
1,1,0.01,9,0.8693
1,1,0.01,10,0.8864
1,1,0.01,11,0.888
1,1,0.01,12,0.8875
2,1,0.01,1,0.11
2,1,0.01,2,0.2791
2,1,0.01,3,0.4561
2,1,0.01,4,0.612
2,1,0.01,5,0.6565
2,1,0.01,6,0.675
2,1,0.01,7,0.6721
2,1,0.01,8,0.6812
2,1,0.01,9,0.6891
2,1,0.01,10,0.6961
2,1,0.01,11,0.6881
2,1,0.01,12,0.6964
3,1,0.01,1,0.0947
3,1,0.01,2,0.2048
3,1,0.01,3,0.6503
3,1,0.01,4,0.8067
3,1,0.01,5,0.8557
3,1,0.01,6,0.8815
3,1,0.01,7,0.8901
3,1,0.01,8,0.8977
3,1,0.01,9,0.9035
3,1,0.01,10,0.9036
3,1,0.01,11,0.9006
3,1,0.01,12,0.9071
1,1,0.02,1,0.115
1,1,0.02,2,0.3736
1,1,0.02,3,0.4468
1,1,0.02,4,0.698
1,1,0.02,5,0.7382
1,1,0.02,6,0.8226
1,1,0.02,7,0.8348
1,1,0.02,8,0.8405
1,1,0.02,9,0.8693
1,1,0.02,10,0.8745
1,1,0.02,11,0.8823
1,1,0.02,12,0.8774
2,1,0.02,1,0.098
2,1,0.02,2,0.2707
2,1,0.02,3,0.4478
2,1,0.02,4,0.6428
2,1,0.02,5,0.7753
2,1,0.02,6,0.8232
2,1,0.02,7,0.7965
2,1,0.02,8,0.8462
2,1,0.02,9,0.8447
2,1,0.02,10,0.868
2,1,0.02,11,0.8568
2,1,0.02,12,0.8783
3,1,0.02,1,0.1066
3,1,0.02,2,0.3763
3,1,0.02,3,0.4499
3,1,0.02,4,0.6657
3,1,0.02,5,0.775
3,1,0.02,6,0.8299
3,1,0.02,7,0.7768
3,1,0.02,8,0.814
3,1,0.02,9,0.8421
3,1,0.02,10,0.8645
3,1,0.02,11,0.8837
3,1,0.02,12,0.8805
1,1,0.03,1,0.1525
1,1,0.03,2,0.2968
1,1,0.03,3,0.455
1,1,0.03,4,0.6747
1,1,0.03,5,0.7927
1,1,0.03,6,0.8061
1,1,0.03,7,0.7913
1,1,0.03,8,0.8306
1,1,0.03,9,0.8366
1,1,0.03,10,0.8424
1,1,0.03,11,0.816
1,1,0.03,12,0.8431
2,1,0.03,1,0.0776
2,1,0.03,2,0.2452
2,1,0.03,3,0.3947
2,1,0.03,4,0.5183
2,1,0.03,5,0.555
2,1,0.03,6,0.6015
2,1,0.03,7,0.6008
2,1,0.03,8,0.6532
2,1,0.03,9,0.6638
2,1,0.03,10,0.6801
2,1,0.03,11,0.6806
2,1,0.03,12,0.6917
3,1,0.03,1,0.0953
3,1,0.03,2,0.1539
3,1,0.03,3,0.3538
3,1,0.03,4,0.5592
3,1,0.03,5,0.6126
3,1,0.03,6,0.6736
3,1,0.03,7,0.6342
3,1,0.03,8,0.7719
3,1,0.03,9,0.801
3,1,0.03,10,0.8117
3,1,0.03,11,0.8266
3,1,0.03,12,0.8351
1,4,0,1,0.1256
1,4,0,2,0.5606
1,4,0,3,0.6422
1,4,0,4,0.676
1,4,0,5,0.6868
1,4,0,6,0.6935
1,4,0,7,0.7154
1,4,0,8,0.7187
1,4,0,9,0.7219
1,4,0,10,0.726
1,4,0,11,0.7303
1,4,0,12,0.7322
1,4,0,13,0.7353
1,4,0,14,0.7381
1,4,0,15,0.7409
1,4,0,16,0.7424
1,4,0,17,0.7434
1,4,0,18,0.7464
1,4,0,19,0.7469
1,4,0,20,0.7491
1,4,0,21,0.7497
1,4,0,22,0.752
1,4,0,23,0.7533
1,4,0,24,0.7537
1,4,0,25,0.7544
1,4,0,26,0.7548
1,4,0,27,0.7563
1,4,0,28,0.7562
1,4,0,29,0.7569
1,4,0,30,0.7572
1,4,0,31,0.7581
1,4,0,32,0.758
1,4,0,33,0.7583
1,4,0,34,0.7581
1,4,0,35,0.7587
1,4,0,36,0.7595
1,4,0,37,0.7598
1,4,0,38,0.7746
1,4,0,39,0.8549
1,4,0,40,0.8533
1,4,0,41,0.856
1,4,0,42,0.8562
1,4,0,43,0.8564
1,4,0,44,0.8569
1,4,0,45,0.8573
1,4,0,46,0.8577
1,4,0,47,0.8578
1,4,0,48,0.8584
1,4,0,49,0.8593
1,4,0,50,0.8601
1,4,0,51,0.8589
