run,epsilon,gamma,round,accuracy
1,1,0,1,0.0781
1,1,0,2,0.33
1,1,0,3,0.5666
1,1,0,4,0.7903
1,1,0,5,0.844
1,1,0,6,0.846
1,1,0,7,0.8491
1,1,0,8,0.8742
1,1,0,9,0.8863
1,1,0,10,0.881
1,1,0,11,0.8942
1,1,0,12,0.8756
1,1,0,13,0.9028
1,1,0,14,0.8728
2,1,0,1,0.164
2,1,0,2,0.301
2,1,0,3,0.6077
2,1,0,4,0.7977
2,1,0,5,0.8222
2,1,0,6,0.8761
2,1,0,7,0.8694
2,1,0,8,0.8755
2,1,0,9,0.8828
2,1,0,10,0.8898
2,1,0,11,0.8982
2,1,0,12,0.8884
2,1,0,13,0.8817
2,1,0,14,0.8794
3,1,0,1,0.0863
3,1,0,2,0.1811
3,1,0,3,0.4835
3,1,0,4,0.7987
3,1,0,5,0.839
3,1,0,6,0.8633
3,1,0,7,0.822
3,1,0,8,0.8649
3,1,0,9,0.8385
3,1,0,10,0.8601
3,1,0,11,0.8907
3,1,0,12,0.8925
3,1,0,13,0.8567
3,1,0,14,0.8995
4,1,0,1,0.08
4,1,0,2,0.3173
4,1,0,3,0.3817
4,1,0,4,0.8313
4,1,0,5,0.8164
4,1,0,6,0.8043
4,1,0,7,0.8659
4,1,0,8,0.8849
4,1,0,9,0.8705
4,1,0,10,0.8537
4,1,0,11,0.8641
4,1,0,12,0.8845
4,1,0,13,0.8987
4,1,0,14,0.9094
5,1,0,1,0.101
5,1,0,2,0.2243
5,1,0,3,0.4095
5,1,0,4,0.7477
5,1,0,5,0.8139
5,1,0,6,0.8145
5,1,0,7,0.8875
5,1,0,8,0.8123
5,1,0,9,0.864
5,1,0,10,0.8769
5,1,0,11,0.8558
5,1,0,12,0.8876
5,1,0,13,0.9043
5,1,0,14,0.8988
1,1,0.002,1,0.0866
1,1,0.002,2,0.395
1,1,0.002,3,0.4241
1,1,0.002,4,0.6017
1,1,0.002,5,0.6506
1,1,0.002,6,0.6919
1,1,0.002,7,0.7473
1,1,0.002,8,0.6775
1,1,0.002,9,0.7379
1,1,0.002,10,0.8051
1,1,0.002,11,0.8146
1,1,0.002,12,0.8321
1,1,0.002,13,0.8633
1,1,0.002,14,0.8683
2,1,0.002,1,0.0779
2,1,0.002,2,0.2384
2,1,0.002,3,0.4647
2,1,0.002,4,0.5797
2,1,0.002,5,0.5434
2,1,0.002,6,0.7453
2,1,0.002,7,0.7275
2,1,0.002,8,0.7966
2,1,0.002,9,0.7643
2,1,0.002,10,0.8277
2,1,0.002,11,0.8115
2,1,0.002,12,0.8375
2,1,0.002,13,0.8508
2,1,0.002,14,0.8571
3,1,0.002,1,0.1415
3,1,0.002,2,0.338
3,1,0.002,3,0.5572
3,1,0.002,4,0.5251
3,1,0.002,5,0.7345
3,1,0.002,6,0.811
3,1,0.002,7,0.818
3,1,0.002,8,0.8394
3,1,0.002,9,0.8339
3,1,0.002,10,0.8388
3,1,0.002,11,0.8407
3,1,0.002,12,0.8505
3,1,0.002,13,0.828
3,1,0.002,14,0.8397
4,1,0.002,1,0.0914
4,1,0.002,2,0.3288
4,1,0.002,3,0.5878
4,1,0.002,4,0.6654
4,1,0.002,5,0.6756
4,1,0.002,6,0.7556
4,1,0.002,7,0.7161
4,1,0.002,8,0.7023
4,1,0.002,9,0.7789
4,1,0.002,10,0.7822
4,1,0.002,11,0.7838
4,1,0.002,12,0.7914
4,1,0.002,13,0.7812
4,1,0.002,14,0.798
5,1,0.002,1,0.0748
5,1,0.002,2,0.2633
5,1,0.002,3,0.4467
5,1,0.002,4,0.57
5,1,0.002,5,0.7116
5,1,0.002,6,0.7294
5,1,0.002,7,0.8085
5,1,0.002,8,0.8131
5,1,0.002,9,0.8436
5,1,0.002,10,0.8343
5,1,0.002,11,0.8434
5,1,0.002,12,0.8357
5,1,0.002,13,0.8507
5,1,0.002,14,0.8365
1,1,0.004,1,0.0743
1,1,0.004,2,0.2577
1,1,0.004,3,0.4186
1,1,0.004,4,0.4408
1,1,0.004,5,0.5662
1,1,0.004,6,0.6145
1,1,0.004,7,0.638
1,1,0.004,8,0.7399
1,1,0.004,9,0.7685
1,1,0.004,10,0.8203
1,1,0.004,11,0.8187
1,1,0.004,12,0.8423
1,1,0.004,13,0.8486
1,1,0.004,14,0.8584
2,1,0.004,1,0.1018
2,1,0.004,2,0.2337
2,1,0.004,3,0.464
2,1,0.004,4,0.5743
2,1,0.004,5,0.7306
2,1,0.004,6,0.7368
2,1,0.004,7,0.7796
2,1,0.004,8,0.782
2,1,0.004,9,0.7869
2,1,0.004,10,0.7978
2,1,0.004,11,0.8271
2,1,0.004,12,0.8418
2,1,0.004,13,0.8536
2,1,0.004,14,0.861
3,1,0.004,1,0.1201
3,1,0.004,2,0.2091
3,1,0.004,3,0.3272
3,1,0.004,4,0.5746
3,1,0.004,5,0.6055
3,1,0.004,6,0.7271
3,1,0.004,7,0.7516
3,1,0.004,8,0.7538
3,1,0.004,9,0.7702
3,1,0.004,10,0.7935
3,1,0.004,11,0.8127
3,1,0.004,12,0.8218
3,1,0.004,13,0.822
3,1,0.004,14,0.8022
4,1,0.004,1,0.1041
4,1,0.004,2,0.2316
4,1,0.004,3,0.428
4,1,0.004,4,0.6125
4,1,0.004,5,0.6418
4,1,0.004,6,0.7
4,1,0.004,7,0.7022
4,1,0.004,8,0.8082
4,1,0.004,9,0.7955
4,1,0.004,10,0.8286
4,1,0.004,11,0.8101
4,1,0.004,12,0.8569
4,1,0.004,13,0.8581
4,1,0.004,14,0.7766
5,1,0.004,1,0.1417
5,1,0.004,2,0.345
5,1,0.004,3,0.5301
5,1,0.004,4,0.6579
5,1,0.004,5,0.6551
5,1,0.004,6,0.7164
5,1,0.004,7,0.7738
5,1,0.004,8,0.7946
5,1,0.004,9,0.8261
5,1,0.004,10,0.8371
5,1,0.004,11,0.8725
5,1,0.004,12,0.8697
5,1,0.004,13,0.8828
5,1,0.004,14,0.8719
1,1,0.006,1,0.0973
1,1,0.006,2,0.1462
1,1,0.006,3,0.3407
1,1,0.006,4,0.4721
1,1,0.006,5,0.6043
1,1,0.006,6,0.5904
1,1,0.006,7,0.7017
1,1,0.006,8,0.7295
1,1,0.006,9,0.6929
1,1,0.006,10,0.792
1,1,0.006,11,0.7585
1,1,0.006,12,0.8473
1,1,0.006,13,0.8413
1,1,0.006,14,0.8389
2,1,0.006,1,0.1039
2,1,0.006,2,0.1542
2,1,0.006,3,0.2627
2,1,0.006,4,0.407
2,1,0.006,5,0.5876
2,1,0.006,6,0.6963
2,1,0.006,7,0.6865
2,1,0.006,8,0.7207
2,1,0.006,9,0.7791
2,1,0.006,10,0.7677
2,1,0.006,11,0.8249
2,1,0.006,12,0.8204
2,1,0.006,13,0.8475
2,1,0.006,14,0.849
3,1,0.006,1,0.1098
3,1,0.006,2,0.1481
3,1,0.006,3,0.2954
3,1,0.006,4,0.3197
3,1,0.006,5,0.5258
3,1,0.006,6,0.5936
3,1,0.006,7,0.6281
3,1,0.006,8,0.6654
3,1,0.006,9,0.7317
3,1,0.006,10,0.7207
3,1,0.006,11,0.713
3,1,0.006,12,0.7773
3,1,0.006,13,0.8061
3,1,0.006,14,0.8249
4,1,0.006,1,0.1131
4,1,0.006,2,0.2262
4,1,0.006,3,0.2347
4,1,0.006,4,0.4511
4,1,0.006,5,0.5852
4,1,0.006,6,0.6651
4,1,0.006,7,0.7072
4,1,0.006,8,0.6619
4,1,0.006,9,0.706
4,1,0.006,10,0.75
4,1,0.006,11,0.6964
4,1,0.006,12,0.7944
4,1,0.006,13,0.7815
4,1,0.006,14,0.8002
5,1,0.006,1,0.1122
5,1,0.006,2,0.194
5,1,0.006,3,0.4106
5,1,0.006,4,0.4201
5,1,0.006,5,0.4954
5,1,0.006,6,0.5866
5,1,0.006,7,0.5852
5,1,0.006,8,0.6152
5,1,0.006,9,0.6966
5,1,0.006,10,0.7211
5,1,0.006,11,0.7519
5,1,0.006,12,0.7972
5,1,0.006,13,0.802
5,1,0.006,14,0.8328
1,2,0,1,0.1219
1,2,0,2,0.6812
1,2,0,3,0.7845
1,2,0,4,0.8276
1,2,0,5,0.831
1,2,0,6,0.8289
1,2,0,7,0.8403
1,2,0,8,0.8471
1,2,0,9,0.8482
1,2,0,10,0.8473
1,2,0,11,0.9089
1,2,0,12,0.9229
1,2,0,13,0.9214
1,2,0,14,0.9284
2,2,0,1,0.1487
2,2,0,2,0.3602
2,2,0,3,0.757
2,2,0,4,0.7979
2,2,0,5,0.8117
2,2,0,6,0.8212
2,2,0,7,0.822
2,2,0,8,0.83
2,2,0,9,0.8278
2,2,0,10,0.8353
2,2,0,11,0.8349
2,2,0,12,0.8345
2,2,0,13,0.8359
2,2,0,14,0.8384
3,2,0,1,0.1413
3,2,0,2,0.4262
3,2,0,3,0.6581
3,2,0,4,0.7615
3,2,0,5,0.7594
3,2,0,6,0.8001
3,2,0,7,0.8239
3,2,0,8,0.8293
3,2,0,9,0.836
3,2,0,10,0.8423
3,2,0,11,0.8411
3,2,0,12,0.8391
3,2,0,13,0.8452
3,2,0,14,0.8473
4,2,0,1,0.1218
4,2,0,2,0.571
4,2,0,3,0.7358
4,2,0,4,0.8384
4,2,0,5,0.8981
4,2,0,6,0.9024
4,2,0,7,0.91
4,2,0,8,0.9208
4,2,0,9,0.9184
4,2,0,10,0.9218
4,2,0,11,0.9281
4,2,0,12,0.9283
4,2,0,13,0.9353
4,2,0,14,0.937
5,2,0,1,0.0892
5,2,0,2,0.4043
5,2,0,3,0.7885
5,2,0,4,0.8448
5,2,0,5,0.8551
5,2,0,6,0.905
5,2,0,7,0.9076
5,2,0,8,0.8841
5,2,0,9,0.9157
5,2,0,10,0.9218
5,2,0,11,0.9212
5,2,0,12,0.9224
5,2,0,13,0.9297
5,2,0,14,0.9285
1,2,0.002,1,0.0916
1,2,0.002,2,0.458
1,2,0.002,3,0.7723
1,2,0.002,4,0.8032
1,2,0.002,5,0.8545
1,2,0.002,6,0.8914
1,2,0.002,7,0.8989
1,2,0.002,8,0.8966
1,2,0.002,9,0.9165
1,2,0.002,10,0.9066
1,2,0.002,11,0.9168
1,2,0.002,12,0.9228
1,2,0.002,13,0.9164
1,2,0.002,14,0.9244
2,2,0.002,1,0.0906
2,2,0.002,2,0.5389
2,2,0.002,3,0.765
2,2,0.002,4,0.7949
2,2,0.002,5,0.862
2,2,0.002,6,0.8941
2,2,0.002,7,0.8942
2,2,0.002,8,0.9037
2,2,0.002,9,0.9041
2,2,0.002,10,0.8963
2,2,0.002,11,0.9075
2,2,0.002,12,0.9147
2,2,0.002,13,0.9022
2,2,0.002,14,0.9194
3,2,0.002,1,0.103
3,2,0.002,2,0.3014
3,2,0.002,3,0.589
3,2,0.002,4,0.8189
3,2,0.002,5,0.8631
3,2,0.002,6,0.8814
3,2,0.002,7,0.8859
3,2,0.002,8,0.9014
3,2,0.002,9,0.9031
3,2,0.002,10,0.9088
3,2,0.002,11,0.9166
3,2,0.002,12,0.91
3,2,0.002,13,0.9217
3,2,0.002,14,0.9161
4,2,0.002,1,0.1149
4,2,0.002,2,0.4347
4,2,0.002,3,0.7069
4,2,0.002,4,0.8523
4,2,0.002,5,0.8751
4,2,0.002,6,0.868
4,2,0.002,7,0.8794
4,2,0.002,8,0.881
4,2,0.002,9,0.8891
4,2,0.002,10,0.8989
4,2,0.002,11,0.899
4,2,0.002,12,0.916
4,2,0.002,13,0.911
4,2,0.002,14,0.8989
5,2,0.002,1,0.1004
5,2,0.002,2,0.5003
5,2,0.002,3,0.6804
5,2,0.002,4,0.8535
5,2,0.002,5,0.8709
5,2,0.002,6,0.8709
5,2,0.002,7,0.8986
5,2,0.002,8,0.9077
5,2,0.002,9,0.904
5,2,0.002,10,0.9051
5,2,0.002,11,0.9074
5,2,0.002,12,0.9135
5,2,0.002,13,0.9161
5,2,0.002,14,0.9073
1,2,0.004,1,0.0877
1,2,0.004,2,0.4935
1,2,0.004,3,0.7148
1,2,0.004,4,0.7876
1,2,0.004,5,0.8058
1,2,0.004,6,0.8773
1,2,0.004,7,0.8724
1,2,0.004,8,0.8718
1,2,0.004,9,0.8993
1,2,0.004,10,0.8993
1,2,0.004,11,0.9021
1,2,0.004,12,0.8995
1,2,0.004,13,0.8982
1,2,0.004,14,0.8919
2,2,0.004,1,0.143
2,2,0.004,2,0.3889
2,2,0.004,3,0.6028
2,2,0.004,4,0.7775
2,2,0.004,5,0.8427
2,2,0.004,6,0.8723
2,2,0.004,7,0.8819
2,2,0.004,8,0.8896
2,2,0.004,9,0.9019
2,2,0.004,10,0.909
2,2,0.004,11,0.9039
2,2,0.004,12,0.9066
2,2,0.004,13,0.9071
2,2,0.004,14,0.9067
3,2,0.004,1,0.0571
3,2,0.004,2,0.3322
3,2,0.004,3,0.6247
3,2,0.004,4,0.7337
3,2,0.004,5,0.8271
3,2,0.004,6,0.8338
3,2,0.004,7,0.8768
3,2,0.004,8,0.8746
3,2,0.004,9,0.8838
3,2,0.004,10,0.8915
3,2,0.004,11,0.8956
3,2,0.004,12,0.9008
3,2,0.004,13,0.9067
3,2,0.004,14,0.9091
4,2,0.004,1,0.0845
4,2,0.004,2,0.3052
4,2,0.004,3,0.4741
4,2,0.004,4,0.5917
4,2,0.004,5,0.6818
4,2,0.004,6,0.7088
4,2,0.004,7,0.8287
4,2,0.004,8,0.8439
4,2,0.004,9,0.8913
4,2,0.004,10,0.8986
4,2,0.004,11,0.8955
4,2,0.004,12,0.9108
4,2,0.004,13,0.9121
4,2,0.004,14,0.9132
5,2,0.004,1,0.1113
5,2,0.004,2,0.3416
5,2,0.004,3,0.6372
5,2,0.004,4,0.7451
5,2,0.004,5,0.8195
5,2,0.004,6,0.8571
5,2,0.004,7,0.8491
5,2,0.004,8,0.8876
5,2,0.004,9,0.8599
5,2,0.004,10,0.9042
5,2,0.004,11,0.9057
5,2,0.004,12,0.9007
5,2,0.004,13,0.9109
5,2,0.004,14,0.9204
1,2,0.006,1,0.1006
1,2,0.006,2,0.35
1,2,0.006,3,0.7237
1,2,0.006,4,0.7182
1,2,0.006,5,0.7539
1,2,0.006,6,0.8266
1,2,0.006,7,0.8391
1,2,0.006,8,0.844
1,2,0.006,9,0.8681
1,2,0.006,10,0.8492
1,2,0.006,11,0.8838
1,2,0.006,12,0.8682
1,2,0.006,13,0.8917
1,2,0.006,14,0.8959
2,2,0.006,1,0.0955
2,2,0.006,2,0.2111
2,2,0.006,3,0.5556
2,2,0.006,4,0.6836
2,2,0.006,5,0.7912
2,2,0.006,6,0.8275
2,2,0.006,7,0.848
2,2,0.006,8,0.8531
2,2,0.006,9,0.863
2,2,0.006,10,0.8849
2,2,0.006,11,0.8929
2,2,0.006,12,0.8952
2,2,0.006,13,0.895
2,2,0.006,14,0.8961
3,2,0.006,1,0.0995
3,2,0.006,2,0.3757
3,2,0.006,3,0.6221
3,2,0.006,4,0.6593
3,2,0.006,5,0.6895
3,2,0.006,6,0.6591
3,2,0.006,7,0.6658
3,2,0.006,8,0.7828
3,2,0.006,9,0.7687
3,2,0.006,10,0.7969
3,2,0.006,11,0.8002
3,2,0.006,12,0.808
3,2,0.006,13,0.815
3,2,0.006,14,0.7962
4,2,0.006,1,0.1371
4,2,0.006,2,0.2259
4,2,0.006,3,0.4275
4,2,0.006,4,0.4915
4,2,0.006,5,0.735
4,2,0.006,6,0.7578
4,2,0.006,7,0.7801
4,2,0.006,8,0.8665
4,2,0.006,9,0.8826
4,2,0.006,10,0.885
4,2,0.006,11,0.8895
4,2,0.006,12,0.9002
4,2,0.006,13,0.9014
4,2,0.006,14,0.9021
5,2,0.006,1,0.0985
5,2,0.006,2,0.4172
5,2,0.006,3,0.6734
5,2,0.006,4,0.682
5,2,0.006,5,0.7073
5,2,0.006,6,0.8018
5,2,0.006,7,0.8287
5,2,0.006,8,0.8517
5,2,0.006,9,0.8565
5,2,0.006,10,0.8829
5,2,0.006,11,0.8865
5,2,0.006,12,0.891
5,2,0.006,13,0.899
5,2,0.006,14,0.9017
