run,epsilon,gamma,round,accuracy,detection_accuracy
1,1,0,1,0.1014,0.2
1,1,0,2,0.2334,0.2
1,1,0,3,0.3957,0.2
1,1,0,4,0.7073,0.2
1,1,0,5,0.7381,0.0
1,1,0,6,0.8255,0.2
1,1,0,7,0.7954,0.2
1,1,0,8,0.8547,0.4
1,1,0,9,0.807,0.2
1,1,0,10,0.8675,0.2
1,1,0,11,0.8217,0.2
1,1,0,12,0.8618,0.2
1,1,0,13,0.854,0.0
1,1,0,14,0.7756,0.2
2,1,0,1,0.1221,0.2
2,1,0,2,0.185,0.2
2,1,0,3,0.5862,0.4
2,1,0,4,0.679,0.0
2,1,0,5,0.7725,0.2
2,1,0,6,0.7911,0.4
2,1,0,7,0.8434,0.0
2,1,0,8,0.8733,0.4
2,1,0,9,0.8335,0.4
2,1,0,10,0.8616,0.0
2,1,0,11,0.8788,0.2
2,1,0,12,0.8758,0.0
2,1,0,13,0.8624,0.2
2,1,0,14,0.8356,0.0
3,1,0,1,0.1032,0.2
3,1,0,2,0.2345,0.2
3,1,0,3,0.6283,0.0
3,1,0,4,0.7325,0.0
3,1,0,5,0.7359,0.2
3,1,0,6,0.7651,0.2
3,1,0,7,0.7962,0.2
3,1,0,8,0.7889,0.0
3,1,0,9,0.7768,0.0
3,1,0,10,0.8255,0.0
3,1,0,11,0.8553,0.4
3,1,0,12,0.8684,0.0
3,1,0,13,0.8644,0.0
3,1,0,14,0.8567,0.2
4,1,0,1,0.0932,0.2
4,1,0,2,0.2056,0.4
4,1,0,3,0.4371,0.2
4,1,0,4,0.7069,0.0
4,1,0,5,0.8156,0.2
4,1,0,6,0.7777,0.4
4,1,0,7,0.8385,0.0
4,1,0,8,0.8616,0.0
4,1,0,9,0.8674,0.2
4,1,0,10,0.8079,0.0
4,1,0,11,0.8599,0.0
4,1,0,12,0.8534,0.2
4,1,0,13,0.7847,0.2
4,1,0,14,0.8476,0.2
5,1,0,1,0.0968,0.2
5,1,0,2,0.1676,0.2
5,1,0,3,0.5829,0.4
5,1,0,4,0.648,0.0
5,1,0,5,0.5727,0.2
5,1,0,6,0.8513,0.2
5,1,0,7,0.8407,0.0
5,1,0,8,0.8058,0.4
5,1,0,9,0.8136,0.0
5,1,0,10,0.8135,0.0
5,1,0,11,0.8518,0.4
5,1,0,12,0.8695,0.2
5,1,0,13,0.8432,0.0
5,1,0,14,0.8871,0.0
1,1,0.002,1,0.1007,0.2
1,1,0.002,2,0.2816,0.4
1,1,0.002,3,0.5544,0.4
1,1,0.002,4,0.777,0.4
1,1,0.002,5,0.7938,0.2
1,1,0.002,6,0.8302,0.8
1,1,0.002,7,0.8543,0.6
1,1,0.002,8,0.8607,0.2
1,1,0.002,9,0.8278,0.4
1,1,0.002,10,0.8444,0.2
1,1,0.002,11,0.865,0.2
1,1,0.002,12,0.8575,0.2
1,1,0.002,13,0.8274,0.0
1,1,0.002,14,0.822,0.2
2,1,0.002,1,0.0973,0.6
2,1,0.002,2,0.4035,0.4
2,1,0.002,3,0.6029,0.0
2,1,0.002,4,0.7036,0.4
2,1,0.002,5,0.7418,0.0
2,1,0.002,6,0.7283,0.6
2,1,0.002,7,0.5948,0.6
2,1,0.002,8,0.7709,0.0
2,1,0.002,9,0.8259,0.4
2,1,0.002,10,0.7566,0.2
2,1,0.002,11,0.7762,0.4
2,1,0.002,12,0.778,0.4
2,1,0.002,13,0.8356,0.2
2,1,0.002,14,0.844,0.2
3,1,0.002,1,0.1133,0.4
3,1,0.002,2,0.2469,0.4
3,1,0.002,3,0.4486,0.4
3,1,0.002,4,0.591,0.0
3,1,0.002,5,0.7406,0.4
3,1,0.002,6,0.6707,0.2
3,1,0.002,7,0.8058,0.4
3,1,0.002,8,0.7897,0.2
3,1,0.002,9,0.8073,0.4
3,1,0.002,10,0.7461,0.4
3,1,0.002,11,0.7644,0.2
3,1,0.002,12,0.8365,0.2
3,1,0.002,13,0.8357,0.6
3,1,0.002,14,0.8287,0.0
4,1,0.002,1,0.113,0.4
4,1,0.002,2,0.27,0.0
4,1,0.002,3,0.3487,0.2
4,1,0.002,4,0.5439,0.2
4,1,0.002,5,0.5673,0.2
4,1,0.002,6,0.5786,0.6
4,1,0.002,7,0.6567,0.0
4,1,0.002,8,0.6904,0.4
4,1,0.002,9,0.7073,0.4
4,1,0.002,10,0.7807,0.6
4,1,0.002,11,0.8348,0.4
4,1,0.002,12,0.8519,0.6
4,1,0.002,13,0.866,0.4
4,1,0.002,14,0.8764,0.4
5,1,0.002,1,0.0989,0.8
5,1,0.002,2,0.1068,0.2
5,1,0.002,3,0.6026,0.4
5,1,0.002,4,0.5234,0.6
5,1,0.002,5,0.7064,0.0
5,1,0.002,6,0.7273,0.0
5,1,0.002,7,0.756,0.0
5,1,0.002,8,0.589,0.2
5,1,0.002,9,0.6375,0.0
5,1,0.002,10,0.6258,0.2
5,1,0.002,11,0.6345,0.2
5,1,0.002,12,0.6613,0.2
5,1,0.002,13,0.7558,0.2
5,1,0.002,14,0.7714,0.4
1,1,0.004,1,0.0691,0.4
1,1,0.004,2,0.2126,0.8
1,1,0.004,3,0.2801,0.2
1,1,0.004,4,0.6368,0.4
1,1,0.004,5,0.6621,0.6
1,1,0.004,6,0.7178,0.4
1,1,0.004,7,0.6729,0.4
1,1,0.004,8,0.6654,0.0
1,1,0.004,9,0.6506,0.6
1,1,0.004,10,0.6642,0.4
1,1,0.004,11,0.62,0.4
1,1,0.004,12,0.6326,0.4
1,1,0.004,13,0.6552,0.6
1,1,0.004,14,0.7165,0.4
2,1,0.004,1,0.0732,0.6
2,1,0.004,2,0.2061,0.4
2,1,0.004,3,0.4693,0.8
2,1,0.004,4,0.7144,0.8
2,1,0.004,5,0.7944,0.4
2,1,0.004,6,0.7819,0.4
2,1,0.004,7,0.8129,0.6
2,1,0.004,8,0.8083,0.0
2,1,0.004,9,0.7566,0.4
2,1,0.004,10,0.7924,0.6
2,1,0.004,11,0.7652,0.4
2,1,0.004,12,0.8284,0.4
2,1,0.004,13,0.8332,0.6
2,1,0.004,14,0.804,0.4
3,1,0.004,1,0.0876,0.6
3,1,0.004,2,0.1907,0.6
3,1,0.004,3,0.6427,0.6
3,1,0.004,4,0.7636,0.4
3,1,0.004,5,0.7132,0.6
3,1,0.004,6,0.6366,0.6
3,1,0.004,7,0.6433,0.8
3,1,0.004,8,0.798,0.6
3,1,0.004,9,0.8136,0.8
3,1,0.004,10,0.8394,0.8
3,1,0.004,11,0.8484,0.6
3,1,0.004,12,0.8338,0.4
3,1,0.004,13,0.8551,0.6
3,1,0.004,14,0.8398,0.6
4,1,0.004,1,0.0726,0.4
4,1,0.004,2,0.3538,0.2
4,1,0.004,3,0.4,0.6
4,1,0.004,4,0.6575,0.6
4,1,0.004,5,0.7365,0.6
4,1,0.004,6,0.8079,0.6
4,1,0.004,7,0.7995,0.6
4,1,0.004,8,0.8285,0.6
4,1,0.004,9,0.8401,0.6
4,1,0.004,10,0.8582,0.6
4,1,0.004,11,0.8809,0.4
4,1,0.004,12,0.8847,0.4
4,1,0.004,13,0.8617,0.4
4,1,0.004,14,0.8451,0.4
