run,epsilon,gamma,round,accuracy
1,1,0,0,
1,1,0,0,
1,1,0,1,0.1762
2,1,0,1,0.1018
3,1,0,1,0.1084
1,1,0.01,1,0.0957
2,1,0.01,1,0.1135
1,1,0,1,0.0878
1,1,0,2,0.1305
1,1,0,3,0.1035
2,1,0,1,0.0912
2,1,0,2,0.0943
2,1,0,3,0.0892
3,1,0,1,0.096
3,1,0,2,0.084
3,1,0,3,0.0992
1,1,0.01,1,0.133
1,1,0.01,2,0.1069
1,1,0.01,3,0.0862
2,1,0.01,1,0.0992
2,1,0.01,2,0.0616
2,1,0.01,3,0.0812
3,1,0.01,1,0.095
3,1,0.01,2,0.1013
3,1,0.01,3,0.0814
1,1,0.02,1,0.0891
1,1,0.02,2,0.1083
1,1,0.02,3,0.104
2,1,0.02,1,0.1334
2,1,0.02,2,0.1106
2,1,0.02,3,0.1091
3,1,0.02,1,0.0838
3,1,0.02,2,0.1288
3,1,0.02,3,0.0946
1,1,0.03,1,0.1028
1,1,0.03,2,0.0661
1,1,0.03,3,0.1432
2,1,0.03,1,0.118
2,1,0.03,2,0.0767
2,1,0.03,3,0.1367
3,1,0.03,1,0.0908
3,1,0.03,2,0.1145
3,1,0.03,3,0.0954
