run,round,accuracy
1,1,0.1248
1,2,0.8556
2,1,0.0902
2,2,0.863
3,1,0.108
3,2,0.8614
1,1,0,1,
1,1,0,1,,0.0
1,1,0.1033
1,2,0.8478
1,3,0.8898
1,4,0.9027
1,5,0.9099
1,6,0.9172
1,7,0.9208
1,8,0.9252
1,9,0.9284
1,10,0.9325
1,11,0.9348
1,12,0.939
1,13,0.9423
1,14,0.945
1,15,0.948
1,16,0.95
1,17,0.9519
1,18,0.9544
1,19,0.9561
1,20,0.9571
1,21,0.9593
1,22,0.9598
1,23,0.9615
1,24,0.962
1,25,0.9631
1,26,0.9647
1,27,0.9649
1,28,0.9661
1,29,0.9666
1,30,0.9672
1,31,0.9674
1,32,0.9679
1,33,0.9682
1,34,0.9693
1,35,0.9687
1,36,0.9697
1,37,0.9698
1,38,0.9697
1,39,0.9705
1,40,0.9702
1,41,0.9711
1,42,0.9711
1,43,0.9712
1,44,0.9715
1,45,0.9719
1,46,0.9721
1,47,0.9724
1,48,0.9725
1,49,0.9732
1,50,0.9733
1,51,0.9735
1,52,0.9737
1,53,0.9739
1,54,0.9741
1,55,0.9744
1,56,0.9746
1,57,0.9746
1,58,0.9747
1,59,0.9745
1,60,0.9752
1,61,0.975
1,62,0.9753
1,63,0.9756
1,64,0.9756
1,65,0.9756
1,66,0.976
1,67,0.9763
1,68,0.9763
1,69,0.9767
1,70,0.9763
1,71,0.9765
1,72,0.9765
1,73,0.9766
1,74,0.9766
1,75,0.977
1,76,0.9768
1,77,0.9767
1,78,0.9768
1,79,0.9773
1,80,0.977
1,81,0.9773
1,82,0.9769
1,83,0.9775
1,84,0.977
1,85,0.9773
1,86,0.9773
1,87,0.9772
1,88,0.9776
1,89,0.9774
1,90,0.9771
1,91,0.9775
1,92,0.9776
1,93,0.9777
1,94,0.9779
1,95,0.9776
1,96,0.9777
1,97,0.9781
1,98,0.978
1,99,0.9782
1,100,0.9778
2,1,0.1044
2,2,0.854
2,3,0.8937
2,4,0.9034
2,5,0.9119
2,6,0.9184
2,7,0.9236
2,8,0.9274
2,9,0.9323
2,10,0.9355
2,11,0.9379
2,12,0.9412
2,13,0.9432
2,14,0.9455
2,15,0.9479
2,16,0.9487
2,17,0.9513
2,18,0.9534
2,19,0.9553
2,20,0.9573
2,21,0.9585
2,22,0.9588
2,23,0.9604
2,24,0.9619
2,25,0.9622
2,26,0.963
2,27,0.9646
2,28,0.9645
2,29,0.9654
2,30,0.9661
2,31,0.9659
2,32,0.9669
2,33,0.9676
2,34,0.9685
2,35,0.9688
2,36,0.9692
2,37,0.9693
2,38,0.9703
2,39,0.9698
2,40,0.9706
2,41,0.9704
2,42,0.9706
2,43,0.9711
2,44,0.9719
2,45,0.9715
2,46,0.9722
2,47,0.9726
2,48,0.9726
2,49,0.973
2,50,0.9728
2,51,0.9736
2,52,0.9734
2,53,0.9738
2,54,0.9741
2,55,0.9737
2,56,0.9736
2,57,0.9738
2,58,0.9743
2,59,0.9743
2,60,0.974
2,61,0.974
2,62,0.9744
2,63,0.9746
2,64,0.9749
2,65,0.975
2,66,0.975
2,67,0.9748
2,68,0.9751
2,69,0.9754
2,70,0.9755
2,71,0.9753
2,72,0.9755
2,73,0.9754
2,74,0.9756
2,75,0.9756
2,76,0.9756
2,77,0.976
2,78,0.9756
2,79,0.976
2,80,0.9759
2,81,0.976
2,82,0.9758
2,83,0.9756
2,84,0.9759
2,85,0.9761
2,86,0.976
2,87,0.9762
2,88,0.9759
2,89,0.9762
2,90,0.9762
2,91,0.9763
2,92,0.9764
2,93,0.9762
2,94,0.9762
2,95,0.9764
2,96,0.9765
2,97,0.9764
2,98,0.9762
2,99,0.9767
2,100,0.9765
3,1,0.0965
3,2,0.866
3,3,0.8954
3,4,0.9048
3,5,0.9117
3,6,0.9195
3,7,0.9232
3,8,0.9286
3,9,0.932
3,10,0.9359
3,11,0.9395
3,12,0.9414
3,13,0.9431
3,14,0.9448
3,15,0.9475
3,16,0.9487
3,17,0.9509
3,18,0.9533
3,19,0.9543
3,20,0.956
3,21,0.9582
3,22,0.9591
3,23,0.9606
3,24,0.9617
3,25,0.9624
3,26,0.9631
3,27,0.9637
3,28,0.9641
3,29,0.9653
3,30,0.9657
3,31,0.9664
3,32,0.9667
3,33,0.9669
3,34,0.9676
3,35,0.9682
3,36,0.969
3,37,0.9692
3,38,0.9696
3,39,0.9697
3,40,0.9706
3,41,0.9708
3,42,0.9711
3,43,0.9711
3,44,0.9719
3,45,0.972
3,46,0.9726
3,47,0.9724
3,48,0.973
3,49,0.973
3,50,0.973
3,51,0.9733
3,52,0.9733
3,53,0.974
3,54,0.9736
3,55,0.9739
3,56,0.9746
3,57,0.9741
3,58,0.9743
3,59,0.9746
3,60,0.9747
3,61,0.9751
3,62,0.9751
3,63,0.9753
3,64,0.9753
3,65,0.9754
3,66,0.9757
3,67,0.9759
3,68,0.9758
3,69,0.9757
3,70,0.9762
3,71,0.9762
3,72,0.976
3,73,0.9766
3,74,0.9766
3,75,0.9768
3,76,0.9767
3,77,0.9766
3,78,0.9767
3,79,0.9766
3,80,0.977
3,81,0.9769
3,82,0.9771
3,83,0.9768
3,84,0.9769
3,85,0.977
3,86,0.9771
3,87,0.9772
3,88,0.9772
3,89,0.9773
3,90,0.9774
3,91,0.9771
3,92,0.9772
3,93,0.9773
3,94,0.9772
3,95,0.9773
3,96,0.9774
3,97,0.9774
3,98,0.9771
3,99,0.9771
3,100,0.9775
