run,epsilon,gamma,round,accuracy
1,1,0,1,0.0822
1,1,0,2,0.2252
1,1,0,3,0.5112
1,1,0,4,0.673
1,1,0,5,0.8582
1,1,0,6,0.8473
2,1,0,1,0.1094
2,1,0,2,0.3019
2,1,0,3,0.5964
2,1,0,4,0.8117
2,1,0,5,0.8433
2,1,0,6,0.8533
3,1,0,1,0.1204
3,1,0,2,0.286
3,1,0,3,0.6608
3,1,0,4,0.8008
3,1,0,5,0.8152
3,1,0,6,0.8867
4,1,0,1,0.0853
4,1,0,2,0.325
4,1,0,3,0.546
4,1,0,4,0.706
4,1,0,5,0.8506
4,1,0,6,0.845
5,1,0,1,0.0877
5,1,0,2,0.3611
5,1,0,3,0.5699
5,1,0,4,0.6972
5,1,0,5,0.782
5,1,0,6,0.8027
1,1,0.01,1,0.0994
1,1,0.01,2,0.108
1,1,0.01,3,0.1183
1,1,0.01,4,0.1657
1,1,0.01,5,0.1498
1,1,0.01,6,0.1595
2,1,0.01,1,0.11
2,1,0.01,2,0.1026
2,1,0.01,3,0.1058
2,1,0.01,4,0.1423
2,1,0.01,5,0.1541
2,1,0.01,6,0.1726
3,1,0.01,1,0.115
3,1,0.01,2,0.0982
3,1,0.01,3,0.1603
3,1,0.01,4,0.182
3,1,0.01,5,0.1749
3,1,0.01,6,0.1632
4,1,0.01,1,0.1116
4,1,0.01,2,0.0929
4,1,0.01,3,0.1304
4,1,0.01,4,0.1288
4,1,0.01,5,0.1542
4,1,0.01,6,0.1463
5,1,0.01,1,0.1239
5,1,0.01,2,0.1053
5,1,0.01,3,0.1294
5,1,0.01,4,0.1492
5,1,0.01,5,0.1687
5,1,0.01,6,0.2037
1,1,0.02,1,0.1063
1,1,0.02,2,0.0974
1,1,0.02,3,0.0974
1,1,0.02,4,0.1012
1,1,0.02,5,0.1012
1,1,0.02,6,0.1012
2,1,0.02,1,0.0965
2,1,0.02,2,0.1033
2,1,0.02,3,0.1135
2,1,0.02,4,0.1135
2,1,0.02,5,0.1135
2,1,0.02,6,0.1135
3,1,0.02,1,0.0498
3,1,0.02,2,0.1135
3,1,0.02,3,0.1135
3,1,0.02,4,0.1135
3,1,0.02,5,0.1135
3,1,0.02,6,0.1135
4,1,0.02,1,0.0875
4,1,0.02,2,0.0982
4,1,0.02,3,0.0982
4,1,0.02,4,0.1028
4,1,0.02,5,0.1028
4,1,0.02,6,0.1028
5,1,0.02,1,0.0851
5,1,0.02,2,0.0892
5,1,0.02,3,0.1136
5,1,0.02,4,0.1136
5,1,0.02,5,0.1136
5,1,0.02,6,0.1136
1,1,0.03,1,0.0409
1,1,0.03,2,0.1032
