run,epsilon,gamma,round,accuracy,detection_accuracy
1,1,0,1,0.0971,0.2
1,1,0,2,0.2404,0.0
1,1,0,3,0.5119,0.2
1,1,0,4,0.761,0.4
1,1,0,5,0.8568,0.0
1,1,0,6,0.8939,0.4
1,1,0,7,0.91,0.4
1,1,0,8,0.9174,0.4
1,1,0,9,0.9239,0.0
1,1,0,10,0.9267,0.2
1,1,0,11,0.9286,0.2
1,1,0.01,1,0.1031,0.2
1,1,0.01,2,0.203,0.0
1,1,0.01,3,0.3972,0.6
1,1,0.01,4,0.7097,0.4
1,1,0.01,5,0.7553,0.8
1,1,0.01,6,0.7853,0.4
1,1,0.01,7,0.8039,0.6
1,1,0.01,8,0.8148,0.6
1,1,0.01,9,0.8178,0.0
1,1,0.01,10,0.8921,0.4
1,1,0.01,11,0.9022,0.2
